Timestamp,Varietal,Bin,Brix,Temperature,Anything notable about this fermentation today?,Reported by,Date of Measurement
10/4/2024 16:50:59,"PETITE SIRAH, Caymus-Babcock Vineyard, Suisun Valley",1,20,81,Lots of activity! 10gal mizu,Jeff,10/4/2024
10/4/2024 16:53:29,"PETITE SIRAH, Caymus-Babcock Vineyard, Suisun Valley",2,22,71,10gal mizu,Jeff,10/4/2024
10/4/2024 16:59:04,"CABERNET SAUVIGNON, DePass-Paulson Vineyard, Green Valley",2,26,85,,Jeff,10/4/2024
10/4/2024 16:59:30,"CABERNET SAUVIGNON, DePass-Paulson Vineyard, Green Valley",1,22,83,,Jeff,10/4/2024
10/7/2024 19:07:54,"ZINFANDEL, Lucchesi Vineyard, Green Valley",Pressed,-1.5,88.3,,Dave ,10/4/2024
10/6/2024 12:39:51,"PETITE SIRAH, Caymus-Babcock Vineyard, Suisun Valley",1,6,91,,Mio,10/6/2024
10/6/2024 12:40:20,"PETITE SIRAH, Caymus-Babcock Vineyard, Suisun Valley",2,12,92.8,,Mio,10/6/2024
10/6/2024 12:41:11,"PETITE SIRAH, Caymus-Babcock Vineyard, Suisun Valley",3,12,90,"Temp not measured, assumption, all bins in the cellar due to the higher temp",Mio,10/6/2024
10/6/2024 12:41:37,"PETITE SIRAH, Caymus-Babcock Vineyard, Suisun Valley",4,13,90,"Temp not measured, assumption, all bins in the cellar due to the higher temp",Mio,10/6/2024
10/6/2024 12:42:33,"BARBERA, Estate, Green Valley",1,1,80,"Temp not measured, assumption. Full tote.",Mio,10/6/2024
10/6/2024 12:43:11,"BARBERA, Estate, Green Valley",2,0.5,80,"Temp not measured, assumption. Partial tote.",Mio,10/6/2024
10/6/2024 12:43:44,"ZINFANDEL, Lucchesi Vineyard, Green Valley",Free Run,1.8,80,"Temp not measured, assumption. Full tote.",Mio,10/6/2024
10/6/2024 12:44:20,"ZINFANDEL, Lucchesi Vineyard, Green Valley",Pressed,-0.6,80,"Temp not measured, assumption. Partial tote.",Mio,10/6/2024
10/6/2024 12:45:07,"CABERNET SAUVIGNON, DePass-Paulson Vineyard, Green Valley",1,15,86,Bin moving in the cellar due to higher temp,Mio,10/6/2024
10/6/2024 12:45:33,"CABERNET SAUVIGNON, DePass-Paulson Vineyard, Green Valley",2,12,92.8,Bin moving in the cellar due to higher temp,Mio,10/6/2024
10/7/2024 9:06:43,"PETITE SIRAH, Caymus-Babcock Vineyard, Suisun Valley",3,9.5,82,,Chiye,10/7/2024
10/7/2024 9:07:28,"PETITE SIRAH, Caymus-Babcock Vineyard, Suisun Valley",4,9,83,,Chiye,10/7/2024
10/7/2024 9:08:07,"PETITE SIRAH, Caymus-Babcock Vineyard, Suisun Valley",2,7.5,86,,Chiye,10/7/2024
10/7/2024 9:08:45,"PETITE SIRAH, Caymus-Babcock Vineyard, Suisun Valley",1,4,82,,Chiye,10/7/2024
10/7/2024 9:11:43,"CABERNET SAUVIGNON, DePass-Paulson Vineyard, Green Valley",1,12,77.5,,Chiye,10/7/2024
10/7/2024 9:12:17,"CABERNET SAUVIGNON, DePass-Paulson Vineyard, Green Valley",2,14,77.2,,Chiye,10/7/2024
10/7/2024 9:29:15,"BARBERA, Estate, Green Valley",1,0.2,77,,Chiye,10/7/2024
10/7/2024 9:30:00,"BARBERA, Estate, Green Valley",2,-0.5,77,,Chiye,10/7/2024
10/7/2024 9:31:15,"ZINFANDEL, Lucchesi Vineyard, Green Valley",Free Run,1.5,78.3,,Chiye,10/7/2024
10/7/2024 9:31:53,"ZINFANDEL, Lucchesi Vineyard, Green Valley",Pressed,-1.1,77.5,,Chiye,10/7/2024
10/7/2024 18:43:47,"BARBERA, Estate, Green Valley",2,-0.9,85,Slight eggy,Dave,10/7/2024
10/7/2024 18:54:24,"PETITE SIRAH, Caymus-Babcock Vineyard, Suisun Valley",4,5.5,81.5,,Chie,10/7/2024
10/7/2024 18:55:00,"PETITE SIRAH, Caymus-Babcock Vineyard, Suisun Valley",3,7,79.1,,Chie,10/7/2024
10/7/2024 18:55:40,"CABERNET SAUVIGNON, DePass-Paulson Vineyard, Green Valley",1,10,82,,Chie,10/7/2024
10/7/2024 18:56:12,"CABERNET SAUVIGNON, DePass-Paulson Vineyard, Green Valley",2,12,83,,Chie,10/7/2024
10/7/2024 18:56:47,"PETITE SIRAH, Caymus-Babcock Vineyard, Suisun Valley",1,2.5,78.8,,Chie,10/7/2024
10/7/2024 18:57:18,"PETITE SIRAH, Caymus-Babcock Vineyard, Suisun Valley",2,6,83,,Chie,10/7/2024
10/7/2024 19:05:53,"BARBERA, Estate, Green Valley",1,-0.3,81,,Dave,10/7/2024
10/7/2024 19:10:14,"ZINFANDEL, Lucchesi Vineyard, Green Valley",Free Run,1.3,84.9,,Dave,10/7/2024
10/8/2024 9:31:12,"CABERNET SAUVIGNON, DePass-Paulson Vineyard, Green Valley",1,9.5,81,Good,Mio,10/8/2024
10/8/2024 9:31:51,"CABERNET SAUVIGNON, DePass-Paulson Vineyard, Green Valley",2,11.5,82,Weaker cap than others,Mio,10/8/2024
10/8/2024 9:32:23,"PETITE SIRAH, Caymus-Babcock Vineyard, Suisun Valley",1,2.5,76,Good,Mio,10/8/2024
10/8/2024 9:33:13,"PETITE SIRAH, Caymus-Babcock Vineyard, Suisun Valley",2,5,80,"Slight eggy smell, h2s, gone with pd",Mio,10/8/2024
10/8/2024 9:34:16,"PETITE SIRAH, Caymus-Babcock Vineyard, Suisun Valley",3,5.5,78,"Strong eggy smell, pd 3 times more than others, need extra attention, smell less or gone after pd, still slightly there with taste too",Mio,10/8/2024
10/8/2024 9:34:52,"PETITE SIRAH, Caymus-Babcock Vineyard, Suisun Valley",4,4.5,80,"Slight eggy smell, h2s, gone with pd",Mio,10/8/2024
10/8/2024 18:28:57,"PETITE SIRAH, Caymus-Babcock Vineyard, Suisun Valley",1,2.1,82.4,,,10/8/2024
10/8/2024 18:29:26,"PETITE SIRAH, Caymus-Babcock Vineyard, Suisun Valley",2,4.3,84.1,,,10/8/2024
10/8/2024 18:29:56,"PETITE SIRAH, Caymus-Babcock Vineyard, Suisun Valley",3,5.1,83,,,10/8/2024
10/8/2024 18:30:29,"PETITE SIRAH, Caymus-Babcock Vineyard, Suisun Valley",4,3.6,85.2,,,10/8/2024
10/8/2024 18:31:55,"CABERNET SAUVIGNON, DePass-Paulson Vineyard, Green Valley",1,7.5,87.5,,,10/8/2024
10/8/2024 18:32:33,"ZINFANDEL, Lucchesi Vineyard, Green Valley",Free Run,1,83,,,10/8/2024
10/8/2024 18:33:19,"CABERNET SAUVIGNON, DePass-Paulson Vineyard, Green Valley",2,9.5,86,Radiating heat when opened— measured 96.5 before punch down ,,10/8/2024
